time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	Temperature(°C)	Version()	Battery level(%)
2024-9-12 11:44:24:640	HC-06(3AA59A817180)	-0.082	0.039	1.022	-7.690	-2.441	-0.488	2.26	4.08	93.04	33.7	18217	75
2024-9-12 11:44:24:640	HC-06(3AA59A817180)	-0.082	0.036	1.025	-7.141	-2.502	-0.122	2.19	4.05	93.04	33.7	18217	75
2024-9-12 11:44:24:641	HC-06(3AA59A817180)	-0.083	0.036	1.025	-7.141	-2.502	-0.122	2.12	4.03	93.04	33.7	18217	75
2024-9-12 11:44:24:642	HC-06(3AA59A817180)	-0.083	0.036	1.025	-7.629	-1.892	-0.061	2.05	4.00	93.04	33.7	18217	75
2024-9-12 11:44:24:644	HC-06(3AA59A817180)	-0.081	0.036	1.025	-7.629	-1.892	-0.061	1.98	3.99	93.04	33.7	18217	75
2024-9-12 11:44:24:730	HC-06(3AA59A817180)	-0.081	0.033	1.023	-7.629	-0.977	0.244	1.90	3.98	93.04	33.7	18217	75
2024-9-12 11:44:24:730	HC-06(3AA59A817180)	-0.079	0.033	1.023	-7.629	-0.977	0.244	1.83	3.97	93.04	33.7	18217	75
2024-9-12 11:44:24:731	HC-06(3AA59A817180)	-0.079	0.031	1.021	-7.874	-0.427	0.793	1.76	3.97	93.04	33.7	18217	75
2024-9-12 11:44:24:759	HC-06(3AA59A817180)	-0.078	0.031	1.021	-7.874	-0.427	0.793	1.68	3.96	93.05	33.7	18217	75
2024-9-12 11:44:24:759	HC-06(3AA59A817180)	-0.078	0.031	1.019	-8.240	-0.122	1.038	1.60	3.96	93.06	33.7	18217	75
2024-9-12 11:44:24:760	HC-06(3AA59A817180)	-0.079	0.031	1.019	-8.240	-0.122	1.038	1.53	3.96	93.07	33.7	18217	75
2024-9-12 11:44:24:848	HC-06(3AA59A817180)	-0.079	0.025	1.017	-7.446	0.244	0.916	1.45	3.97	93.08	33.7	18217	75
2024-9-12 11:44:24:849	HC-06(3AA59A817180)	-0.076	0.025	1.017	-7.446	0.244	0.916	1.38	3.97	93.09	33.7	18217	75
2024-9-12 11:44:24:850	HC-06(3AA59A817180)	-0.076	0.021	1.013	-6.287	0.549	0.854	1.32	3.98	93.10	33.7	18217	75
2024-9-12 11:44:24:851	HC-06(3AA59A817180)	-0.074	0.021	1.013	-6.287	0.549	0.854	1.26	3.98	93.11	33.7	18217	75
2024-9-12 11:44:24:853	HC-06(3AA59A817180)	-0.074	0.018	1.010	-5.920	0.732	0.793	1.20	3.99	93.11	33.7	18217	75
2024-9-12 11:44:24:908	HC-06(3AA59A817180)	-0.072	0.018	1.010	-5.920	0.732	0.793	1.15	4.00	93.13	33.7	18217	75
2024-9-12 11:44:24:909	HC-06(3AA59A817180)	-0.072	0.019	1.013	-6.714	0.549	0.427	1.09	4.01	93.13	33.7	18217	75
2024-9-12 11:44:24:910	HC-06(3AA59A817180)	-0.069	0.019	1.013	-6.714	0.549	0.427	1.03	4.02	93.13	33.7	18217	75
2024-9-12 11:44:24:968	HC-06(3AA59A817180)	-0.069	0.019	1.020	-7.507	0.427	-0.427	0.96	4.02	93.13	33.7	18217	75
2024-9-12 11:44:24:969	HC-06(3AA59A817180)	-0.068	0.019	1.020	-7.507	0.427	-0.427	0.89	4.03	93.13	33.7	18217	75
2024-9-12 11:44:24:970	HC-06(3AA59A817180)	-0.066	0.015	1.026	-6.592	0.610	-1.099	0.76	4.04	93.11	33.7	18217	75
2024-9-12 11:44:24:980	HC-06(3AA59A817180)	-0.075	0.012	1.025	-5.371	0.549	-1.465	0.04	4.03	92.88	33.7	18217	75
2024-9-12 11:44:25:28	HC-06(3AA59A817180)	-0.075	0.007	1.016	-8.667	-0.854	-2.136	-0.03	4.02	92.86	33.7	18217	75
2024-9-12 11:44:25:30	HC-06(3AA59A817180)	-0.071	0.007	1.016	-8.667	-0.854	-2.136	-0.11	4.01	92.84	33.7	18217	75
2024-9-12 11:44:25:31	HC-06(3AA59A817180)	-0.071	0.000	1.025	-7.996	-0.732	-1.404	-0.19	4.00	92.82	33.7	18217	75
2024-9-12 11:44:25:32	HC-06(3AA59A817180)	-0.068	0.000	1.025	-7.996	-0.732	-1.404	-0.26	3.99	92.81	33.7	18217	75
2024-9-12 11:44:25:60	HC-06(3AA59A817180)	-0.063	-0.025	1.033	-2.625	0.122	1.770	-0.46	3.94	92.78	33.7	18217	75
2024-9-12 11:44:25:60	HC-06(3AA59A817180)	-0.071	-0.008	1.015	-2.625	0.122	1.770	-0.48	3.94	92.80	33.7	18217	75
2024-9-12 11:44:25:61	HC-06(3AA59A817180)	-0.071	0.001	1.016	-3.540	-0.732	2.502	-0.51	3.94	92.82	33.7	18217	75
2024-9-12 11:44:25:61	HC-06(3AA59A817180)	-0.068	0.001	1.016	-3.540	-0.732	2.502	-0.51	3.94	92.82	33.7	18217	75
2024-9-12 11:44:25:63	HC-06(3AA59A817180)	-0.066	-0.017	1.019	-0.183	-0.183	-0.671	-0.93	3.89	92.90	33.8	18217	75
2024-9-12 11:44:25:91	HC-06(3AA59A817180)	-0.066	-0.026	1.023	2.380	0.244	-0.793	-0.92	3.89	92.89	33.7	18217	75
2024-9-12 11:44:25:149	HC-06(3AA59A817180)	-0.071	-0.026	1.023	2.380	0.244	-0.793	-0.90	3.89	92.88	33.7	18217	75
2024-9-12 11:44:25:150	HC-06(3AA59A817180)	-0.071	-0.008	1.018	1.099	0.244	-0.793	-0.76	3.90	92.84	33.7	18217	75
2024-9-12 11:44:25:152	HC-06(3AA59A817180)	-0.071	-0.010	1.028	2.563	0.122	-1.282	-0.73	3.90	92.83	33.7	18217	75
